app,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19
bbc,-583,3302.2631578947357,4544.368421052632,4245.1578947368425,4268.842105263158,7611.473684210525,17615.473684210527,54916.947368421024,71856.52631578944,102559.89473684208,139719.4736842105,194615.89473684205,266397.7894736842,297101.15789473685,379383.2631578946,485645.57894736825,542741.3684210526,589266,599339.5263157894,599349
bbc,-583,4560.473684210527,4238.8421052631575,4213.0526315789475,17607.78947368421,21757.526315789477,63191.315789473694,71918.36842105263,112075.1052631579,127045.52631578948,149607.3157894737,207004.26315789472,240988.57894736843,307963.4210526316,332582.6842105263,400479.8421052632,498742.47368421056,572244.4736842104,599556.3684210526,599779
bbc,-583,3302.2631578947357,4544.368421052632,4286.894736842105,4203.8421052631575,11217.052631578936,27469.421052631573,72433.21052631577,106612.99999999997,120147.10526315782,187955.9474,255481,286681,354560.7894736842,423008.1578947367,477762.6842105262,531382.0526315789,591741.4210526316,599338.5263157894,599348
bbc,-583,3648.4736842105267,4500.0526315789475,4214.684210526316,4809.4736842105285,9706.315789473687,33963.894736842165,69360.21053,88793.36842105263,103827.78947368421,163842.84210526317,206404.84210526326,237899.05263157896,280673.8947368422,383754.0000000001,483854.31578947377,564373.1579,589340.2105263158,599491.1578947369,599515
bbc,-583,3302.2631578947357,4544.368421052632,4245.1578947368425,4268.842105263158,8956.157894736842,27115.421052631573,47744.26315789472,68160.26315789473,90633.73684210522,118853.94736842104,148776.89473684208,243687.63157894736,312560.6842105263,395268.47368421033,440587,514142.5789473684,553075.8421052631,599332.5263157894,599342
bbc,-583,4248.157894736842,4391.684210526316,4134.894736842105,4187.526315789473,39161.89474,66516.84210526316,77412,97388.42105263156,153477.0526315789,175156.2105263158,218261.47368421056,266687.78947368416,322705.4736842105,367655.3684210526,423460.2105263158,496789.0526315789,586293.8947,599209.5789473684,599238
bbc,-583,4525.526315789474,4306.9473684210525,4238.315789473684,6342.526315789477,16223.73684210526,44731.21052631579,66853.42105263157,81171.42105,133588.15789473685,175433.73684210525,242962.2631578948,320778.15789473685,375536.1578947369,401063.84210526315,437020.7894736844,499583.0000000002,557888.3684210528,599403.2631578947,599408
bbc,-583,3302.2631578947357,4544.368421052632,4326.315789473684,4203.8421052631575,8662.947368421046,19285.21052631579,31567.52631578946,70004.15789473681,88220.78947368417,130488.57894736838,172330.68421052632,194662.26315789472,254170.26315789475,304526.05263157876,414761.42105263146,518611.52631578944,581099.3157894737,599338.5263157894,599348
bbc,-583,4525.526315789474,4350.789473684211,4087.5789473684213,4116.421052631579,20883.263157894733,36336.42105263158,62857.36842105263,90442.52631578952,111642.42105263159,167535.5789473684,201151.26315789478,275277.8947368421,319180.9473684212,371030.1052631579,427561.7894736844,496934.94736842107,568720.3157894738,599382.2631578947,599387
bbc,-583,4359.105263157895,4357.789473684211,4176.263157894737,4598.105263157897,8134.736842105263,29671.789473684206,45256.42105263159,72121.68421052632,105656,174522.10526315792,221039.78947368427,297781.05263157893,361538.94736842107,417776.42105263163,479051.15789473685,533373.0526,591668,599164.0526,599183
