num_packets_down,num_bytes_down,min_packet_size_down,max_packet_size_down,mean_packet_size_down,std_packet_size_down,min_iat_down,max_iat_down,mean_iat_down,std_iat_down,num_packets_up,num_bytes_up,min_packet_size_up,max_packet_size_up,mean_packet_size_up,std_packet_size_up,min_iat_up,max_iat_up,mean_iat_up,std_iat_up,port_pair,app
29,253971,52,47232,8757.620689655172,14144.626123458116,4.4e-05,0.033419,0.006804393,0.007971459,26,2192,40,569,84.30769231,102.41514311107284,6.3e-05,0.047,0.00950432,0.012502596,44154,abc
34,170926,52,48580,5027.235294117647,10116.497052321303,7e-05,0.323232,0.027702667,0.070295593,24,2627,52,575,109.45833333333331,145.83104553070896,0.000133,0.351284,0.039797957,0.084429947,54384,vaticannewsva
384,1563899,40,49000,4072.6536458333335,6708.097255237949,2.3e-05,0.543435,0.005956321,0.033047892,227,9940,40,557,43.78854625550661,35.82416808069252,2.7e-05,0.587375,0.010227407,0.044252824,46922,nypost
33,287454,52,51276,8710.727272727272,14564.651837309584,4.2e-05,0.378055,0.019562938,0.06606006,28,2383,40,569,85.10714285714286,100.5784526241835,5.7e-05,0.378468,0.026769333,0.073341744,43178,asahi
31,287350,52,51276,9269.354838709678,16922.587102348123,7e-05,0.314794,0.018936133,0.056667483,31,2539,40,569,81.90322580645162,95.93447584635032,5.3e-05,0.265091,0.0205008,0.049180266,37374,asahi
14,170680,52,51276,12191.42857142857,17402.401521780685,0.000322,0.037264,0.011946231,0.010408541,15,863,52,127,57.53333333333333,19.32750322603468,7.8e-05,0.040016,0.013881714,0.014542932,49652,newscn
28,233242,52,52624,8330.071429,12504.415708737904,0.000145,0.15733,0.014763667,0.03070043,28,2364,52,569,84.42857142857143,100.6042590113209,6.4e-05,0.120292,0.016232815,0.02777528,40380,asahi
31,254084,52,52624,8196.258064516129,14174.03178343584,4.6e-05,0.033991,0.007548733,0.010617226,27,2244,40,569,83.11111111111111,100.61859949384387,5e-05,0.040034,0.009838731,0.013167767,56304,abc
24,170383,52,52624,7099.291666666667,13650.774953249924,5e-05,0.265906,0.02219,0.054465128,21,2471,52,575,117.66666666666669,154.56627488987803,0.000176,0.236204,0.0264563,0.052399662,60556,vaticannewsva
14,170680,52,52624,12191.42857142857,17846.52987478038,0.000282,0.066049,0.017730615,0.022177714,15,863,52,127,57.53333333333333,19.32750322603468,0.000134,0.066093,0.019578643,0.022400593,53086,newscn
23,243741,52,53972,10597.434782608696,16363.164274525232,4e-05,0.055311,0.009619409,0.013794883,19,1816,52,569,95.57894736842104,119.50467949437228,4.7e-05,0.055562,0.014186056,0.019574343,41254,abc
24,170384,52,55320,7099.333333333333,13954.122998836816,8.2e-05,0.042748,0.011713174,0.011842852,22,2523,52,575,114.6818181818182,150.77936778259067,7.5e-05,0.059179,0.014260333,0.017969849,45558,vaticannewsva
42,254648,52,55320,6063.047619047619,11834.172280250645,2.8e-05,0.289563,0.015702317,0.046368258,37,2764,40,569,74.70270270270271,86.64899334699764,3.8e-05,0.320269,0.019349583,0.054323891,54966,abc
42,1019266,52,55320,24268.23809523809,20992.46408433684,-2.946176,0.036358,-0.064897317,0.4612964488205734,38,2803,52,569,73.76315789473684,86.20479519,-2.946202,0.048049,-0.070803784,0.4859974698957995,41904,ndtv
25,150970,52,56668,6038.8,12252.79293,6.3e-05,0.396224,0.030531625,0.080005359,17,2239,52,575,131.7058823529412,169.51982358484003,0.000118,0.421639,0.045862625,0.1041811354483942,60774,vaticannewsva
31,287349,52,56668,9269.322581,16010.117420737628,3e-05,0.318212,0.021923267,0.058160123,25,2227,40,569,89.08,105.95790044478356,3.3e-05,0.319117,0.029243792,0.06464534,40384,asahi
41,560194,40,57160,13663.268292682927,16990.562627565323,4.8e-05,0.266798,0.01598265,0.044146675,34,2223,40,557,65.38235294117646,90.78146076451036,9e-05,0.24104,0.020151333,0.046584825,36786,polimiit
