app,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19
bbc,-583.0,4533.105263157895,4170.631578947368,4452.7368421052615,11453.8947368421,26721.99999999999,63629.05263157894,74214.63157894737,93313.89473684209,140508.31578947362,195081.26315789472,226880.10526315786,246050.31578947365,281325.5789473684,323908.4210526315,394728.3157894737,461858.947368421,525442.2105263157,602958.1052631579,603412.0
bbc,-583.0,4470.052631578947,4323.894736842105,4217.631578947368,12004.421052631562,30104.473684210527,51131.947368421046,74243.94736842102,106791.94736842098,188648.36842105258,239855.52631578944,264812.15789473685,304454.8947368421,347999.7368421053,397646.0526315789,468009.0,515030.2631578947,567940.1578947367,602947.5263157894,602957.0
cnbc,-583.0,3320.842105263158,4642.15789473684,30684.8947368421,78011.84210526316,148396.68421052623,312361.10526315786,488741.3157894736,701730.3684210526,982332.2631578947,1159989.5263157892,1342471.2105263155,1578376.2631578946,1805980.4736842103,2050470.1578947369,2249482.578947368,2402095.4210526315,2702491.6315789474,2975998.789473684,3058438.0
cnbc,-583.0,2622.4736842105262,3649.9473684210525,35225.89473684211,90962.31578947368,180966.31578947365,330566.1052631579,531460.8421052634,750092.4210526317,917712.8421052631,1171889.0526315789,1393287.5789473688,1618588.210526316,1800894.7368421056,1993204.8421052634,2259584.0,2455796.210526316,2720401.6842105263,2940806.947368421,3056771.0
cnbc,-583.0,2950.842105263158,3887.5263157894738,22190.052631578943,57957.52631578947,100394.05263157895,170783.84210526306,348942.6842105263,545831.6315789473,732362.2631578947,945285.3157894737,1193469.210526316,1457616.2631578946,1726020.1578947366,1984207.6315789472,2271341.6315789474,2501930.578947368,2714144.1578947366,2963108.4736842103,3057188.0
cnn,-583.0,2959.8947368421054,5964.421052631579,37309.05263157895,96193.47368421056,153800.84210526317,285690.1052631579,439076.4210526317,720735.5789473684,912646.3157894737,1167771.157894737,1397709.6842105265,1608705.2631578948,1751591.3684210526,1974506.1052631587,2270709.473684211,2574788.0000000005,2829912.8421052634,3039560.421052632,3068739.0
cnn,-583.0,2699.3684210526317,5998.315789473684,16896.57894736842,90673.0,160121.63157894736,211762.4736842105,340664.99999999994,572866.8947368421,785629.210526316,1057916.3684210528,1252587.105263158,1497985.2105263155,1659026.8947368423,1985872.5789473683,2280721.0000000005,2568332.7894736845,2810467.3157894737,3008614.473684211,3068379.0
cnn,-583.0,2647.2631578947367,5645.78947368421,5977.57894736842,70343.78947368421,157466.73684210522,300141.4736842105,446576.42105263175,638062.947368421,853529.684210526,1085314.3157894735,1325896.4210526317,1519937.0526315789,1771232.2105263155,2046152.8421052634,2315681.473684211,2575277.4736842103,2783365.684210526,3045019.157894736,3067212.0
dailymail,-583.0,2532.315789473684,2267.4736842105262,2871.9473684210525,3369.842105263158,19075.94736842106,91295.94736842104,136768.78947368418,196218.26315789475,252120.36842105264,356337.6315789475,442534.2631578947,498791.10526315786,629897.4210526316,739364.7894736842,875863.105263158,981144.5789473684,1150846.2631578946,1261874.4736842106,1265205.0
dailymail,-583.0,2481.2105263157896,2994.0526315789475,3412.684210526316,19067.0,69239.73684210527,109337.94736842107,207825.84210526312,261545.94736842104,339601.00000000006,438230.7894736842,532178.052631579,664578.7894736843,786124.5789473684,859922.7894736842,962667.5263157896,1049732.894736842,1147937.0,1259550.1578947369,1265665.0
